iter	Passed	Remaining
399	70987	17746
400	71163	17569
401	71356	17395
402	71514	17213
403	71675	17031
404	71854	16854
405	72029	16676
406	72202	16498
407	72384	16321
408	72544	16140
409	72715	15962
410	72904	15787
411	73094	15612
412	73271	15435
413	73435	15254
414	73609	15076
415	73784	14898
416	73978	14724
417	74154	14547
418	74341	14371
419	74522	14194
420	74701	14017
421	74895	13843
422	75065	13664
423	75253	13488
424	75422	13309
425	75602	13132
426	75783	12956
427	75968	12779
428	76145	12602
429	76323	12424
430	76496	12246
431	76667	12067
432	76848	11891
433	77032	11714
434	77206	11536
435	77388	11359
436	77583	11184
437	77758	11006
438	77923	10827
439	78106	10650
440	78281	10473
441	78381	10285
442	78532	10104
443	78707	9927
444	78921	9754
445	79114	9578
446	79295	9401
447	79470	9224
448	79650	9047
449	79815	8868
450	79980	8689
451	80157	8512
452	80345	8336
453	80524	8158
454	80688	7980
455	80852	7801
456	81037	7624
457	81224	7448
458	81400	7271
459	81579	7093
460	81751	6916
461	81947	6740
462	82127	6563
463	82296	6385
464	82450	6205
465	82627	6028
466	82831	5853
467	83030	5677
468	83213	5500
469	83392	5322
470	83573	5145
471	83745	4967
472	83922	4790
473	84102	4613
474	84281	4435
475	84447	4257
476	84620	4080
477	84810	3903
478	84984	3725
479	85161	3548
480	85341	3371
481	85522	3193
482	85692	3016
483	85868	2838
484	86034	2660
485	86224	2483
486	86398	2306
487	86569	2128
488	86730	1950
489	86912	1773
490	87122	1596
491	87333	1420
492	87503	1242
493	87693	1065
494	87863	887
495	88034	709
496	88203	532
497	88388	354
498	88574	177
499	88749	0
