iter	MultiClass
0	1.624920236
1	1.553993712
2	1.431317226
3	1.352661117
4	1.294054285
5	1.211824479
6	1.146471575
7	1.081462145
8	1.024726132
9	0.9811385063
10	0.9291858974
11	0.879315152
12	0.8374757286
13	0.8052968753
14	0.7717316037
15	0.730679284
16	0.6966925556
17	0.6663213686
18	0.626401377
19	0.5986593521
20	0.5641356702
21	0.5352419902
22	0.5093599711
23	0.4862761089
24	0.4685428816
25	0.4497744075
26	0.4342643138
27	0.4173202147
28	0.4028755373
29	0.3918457477
30	0.3764063492
31	0.362315543
32	0.3549119441
33	0.342194268
34	0.3316640744
35	0.3250345721
36	0.3150727455
37	0.3054196101
38	0.2978927812
39	0.2906073127
40	0.2829011997
41	0.276699261
42	0.2693030545
43	0.2631728443
44	0.2588424308
45	0.2526080426
46	0.241909577
47	0.2381202369
48	0.2376536591
49	0.2292178686
50	0.2250087683
51	0.2163988127
52	0.2138938557
53	0.2107921966
54	0.2072806624
55	0.2020375258
56	0.2016764952
57	0.1966191509
58	0.1934956356
59	0.1902470806
60	0.1872624974
61	0.1866312004
62	0.1820457449
63	0.1791736893
64	0.1763516655
65	0.1754520496
66	0.1716619223
67	0.1696420026
68	0.1669737822
69	0.1666171844
70	0.1652242988
71	0.1640039229
72	0.1633517147
73	0.1631203201
74	0.1610558369
75	0.1575270763
76	0.1573601076
77	0.1567035751
78	0.1540574916
79	0.1538936149
80	0.1527771292
81	0.1502112355
82	0.1490792176
83	0.1473772285
84	0.1473220879
85	0.1454080294
86	0.1432971714
87	0.143167499
88	0.1429760005
89	0.1405757566
90	0.1389459569
91	0.1380661394
92	0.1379972371
93	0.1362248449
94	0.1344909057
95	0.1327245541
96	0.1311311092
97	0.1309406231
98	0.1300040031
99	0.1287413549
100	0.1278897375
101	0.1259976318
102	0.1259680818
103	0.1257407975
104	0.1256831267
105	0.1256411295
106	0.1226128778
107	0.1225398685
108	0.1217613808
109	0.120592745
110	0.1179244388
111	0.1166798052
112	0.1148351667
113	0.1146393078
114	0.113794117
115	0.1132681097
116	0.1131612733
117	0.1130235875
118	0.1129056262
119	0.1098415913
120	0.1089384672
121	0.1088405943
122	0.1063625433
123	0.1038473826
124	0.1031730711
125	0.1029335424
126	0.1011631507
127	0.1011059885
128	0.09840571413
129	0.09794368918
130	0.09777133716
131	0.09776722142
132	0.09569488852
133	0.09554519377
134	0.09515121127
135	0.09391044844
136	0.09375944326
137	0.0935854111
138	0.09208970741
139	0.09185719516
140	0.09123456657
141	0.08980724765
142	0.08732064677
143	0.08698603455
144	0.08651113517
145	0.08614938287
146	0.08580293078
147	0.08548088288
148	0.08501277603
149	0.08458743296
150	0.08326908901
151	0.0832079777
152	0.08240173734
153	0.0823731654
154	0.08212162137
155	0.08174062527
156	0.08093692088
157	0.07909497068
158	0.07903959247
159	0.07844275714
160	0.07826722979
161	0.07816439356
162	0.07812010891
163	0.0779160567
164	0.07711168469
165	0.07675318697
166	0.0756269415
167	0.07525680568
168	0.07480664509
169	0.0735878652
170	0.07350035546
171	0.07300755909
172	0.07267397751
173	0.07260219533
174	0.07132365354
175	0.07053877483
176	0.07050384279
177	0.06889542707
178	0.06862251729
179	0.06805639604
180	0.06802179526
181	0.06764383105
182	0.06762657256
183	0.06741941153
184	0.0664719361
185	0.06643630529
186	0.06593301642
187	0.06521430991
188	0.06518784061
189	0.06516211031
190	0.06467039663
191	0.06422897837
192	0.0637770608
193	0.06316052607
194	0.06314044362
195	0.06309089271
196	0.06285564728
197	0.06260422026
198	0.06227745698
199	0.06226017572
200	0.06195884258
201	0.06144604971
202	0.06078204383
203	0.06074044863
204	0.0603871922
205	0.06025855729
206	0.0597251071
207	0.05959334621
208	0.05953673142
209	0.05950149572
210	0.05922671491
211	0.05885771929
212	0.05842217203
213	0.05807156938
214	0.05779541283
215	0.05776074481
216	0.05746317361
217	0.05741737395
218	0.05728460464
219	0.05725594397
220	0.05705294942
221	0.05698837103
222	0.05669531113
223	0.05622994399
224	0.05583262005
225	0.05567303142
226	0.05486912779
227	0.05481758958
228	0.05434757598
229	0.05432208253
230	0.05337567389
231	0.05308079783
232	0.05305614354
233	0.0529908871
234	0.05248044115
235	0.05246867787
236	0.05245621895
237	0.05207960357
238	0.05205853791
239	0.05195192742
240	0.05194040385
241	0.05184592873
242	0.05182860828
243	0.05175448791
244	0.05172204263
245	0.05119930622
246	0.05076354515
247	0.05023081501
248	0.05010227422
249	0.05007310493
250	0.05005395355
251	0.04999185651
252	0.04995870172
253	0.04961883984
254	0.04919853458
255	0.04916491649
256	0.04902679063
257	0.04882428412
258	0.04855876398
259	0.0485390283
260	0.04791224833
261	0.04746102393
262	0.04743615772
263	0.04735298678
264	0.04718185569
265	0.04715285066
266	0.04699322395
267	0.04681955791
268	0.04664843415
269	0.04656220577
270	0.04649556277
271	0.04645738283
272	0.04576530637
273	0.04527304957
274	0.045259392
275	0.04523075042
276	0.045060588
277	0.04467187765
278	0.04428672726
279	0.0442060868
280	0.04414997167
281	0.04375506221
282	0.0432877636
283	0.04291400289
284	0.04278116911
285	0.04267675879
286	0.04228288683
287	0.04226603599
288	0.04215369357
289	0.04181382355
290	0.0418034513
291	0.04172383812
292	0.0413115287
293	0.04118128587
294	0.04116466063
295	0.04106430634
296	0.04066993533
297	0.04042875152
298	0.04035249451
299	0.04030617392
300	0.03993903639
301	0.03971910645
302	0.03969092613
303	0.03942004391
304	0.03884888226
305	0.03884091363
306	0.03882365866
307	0.03881160128
308	0.03862550671
309	0.0384708811
310	0.03844195686
311	0.03842460261
312	0.03838342204
313	0.03825394722
314	0.0382313552
315	0.03791875932
316	0.0377404968
317	0.03764463311
318	0.03729246252
319	0.03725527707
320	0.03714831776
321	0.03712790304
322	0.03706434202
323	0.0370420105
324	0.03682716292
325	0.03680424395
326	0.03678464505
327	0.03676708048
328	0.03674946916
329	0.03662295692
330	0.03659432753
331	0.03655275534
332	0.03644491978
333	0.03640064538
334	0.036170099
335	0.03614503682
336	0.03612528478
337	0.03589308564
338	0.0358800787
339	0.03587394222
340	0.03585984071
341	0.03577043674
342	0.03556879518
343	0.0353648439
344	0.03516758233
345	0.03509808762
346	0.03508575722
347	0.03485807681
348	0.03481046918
349	0.03468928697
350	0.03466913536
351	0.0345340813
352	0.03453296714
353	0.03441118196
354	0.03382732639
355	0.03380809885
356	0.03378599583
357	0.03378190884
358	0.03377884318
359	0.03359183336
360	0.03342789504
361	0.03336308958
362	0.0333606089
363	0.03322837348
364	0.03309527433
365	0.03306453928
366	0.03301339326
367	0.03297562655
368	0.03281972679
369	0.03272711114
370	0.03251149837
371	0.03249346445
372	0.03248371338
373	0.03247408088
374	0.03239509407
375	0.03238700554
376	0.0323766199
377	0.03235939697
378	0.03211509781
379	0.03210736924
380	0.03208380312
381	0.03204989943
382	0.03190474306
383	0.031797617
384	0.03163894384
385	0.03162390393
386	0.03148075374
387	0.03112036278
388	0.03106997266
389	0.03099495556
390	0.03065285686
391	0.03058719484
392	0.03056356103
393	0.03029489732
394	0.03027737368
395	0.03012468742
396	0.03011299011
397	0.03009998314
398	0.02997748272
399	0.02989763578
400	0.0298152452
401	0.02978692349
402	0.02977662505
403	0.0296842354
404	0.02963296286
405	0.02954909415
406	0.02953005887
407	0.02926732154
408	0.02918809733
409	0.02916391735
410	0.028982682
411	0.02860420938
412	0.02853342978
413	0.02848195225
414	0.0283389731
415	0.02829436509
416	0.02808604547
417	0.02808247062
418	0.02800639634
419	0.02800122873
420	0.0279410486
421	0.02793669287
422	0.0279343208
423	0.02777227821
424	0.02776316637
425	0.02771445724
426	0.0276281868
427	0.02761069007
428	0.02760151128
429	0.02749136201
430	0.02739604841
431	0.02738229431
432	0.02720683171
433	0.02719442358
434	0.02718454131
435	0.02714188748
436	0.0271393679
437	0.02704863533
438	0.02704423352
439	0.02702826739
440	0.02692787045
441	0.02692561754
442	0.02676025818
443	0.02674525771
444	0.02667232853
445	0.02657866881
446	0.02656261472
447	0.02641671151
448	0.02630857849
449	0.02627543124
450	0.02626714612
451	0.02619321145
452	0.02604207009
453	0.02596822116
454	0.02588537334
455	0.02587285749
456	0.02568462913
457	0.02562598047
458	0.02559347879
459	0.02539376275
460	0.02533294929
461	0.02518716755
462	0.02518114535
463	0.02514974553
464	0.02511330839
465	0.02497053042
466	0.02492595596
467	0.02489838092
468	0.02478312964
469	0.02474040909
470	0.02462715558
471	0.02461068774
472	0.0246006127
473	0.02452289715
474	0.02444880424
475	0.02440816739
476	0.0243955301
477	0.02439158426
478	0.02434008829
479	0.02429571927
480	0.0242808508
481	0.02420250164
482	0.02419362363
483	0.02416953648
484	0.02410443318
485	0.02409541327
486	0.02405016946
487	0.02404360158
488	0.02403427114
489	0.02402374275
490	0.02395061975
491	0.02377908429
492	0.02376963197
493	0.02375887299
494	0.02373113435
495	0.02372280287
496	0.02367312644
497	0.02350882819
498	0.02349733833
499	0.02345874259
